Type,Name,CH1 Day,CH1 Eve,CH1 Nite,CH2 Day,CH2 Eve,CH2 Nite,CH3 Day,CH3 Eve,CH3 Nite,CH4 Day,CH4 Eve,CH4 Nite,CH5 Day,CH5 Eve,CH5 Nite,VF4 Day,VF4 Eve,VF4 Nite,VF5 Day,VF5 Eve,VF5 Nite
NPC,Sunbathing Sailor 2,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Train Employee 1,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Woman Trying To Shop Day 3,,,,,,,X,,,X,,,X,,,,,,,,
NPC,Boss Maintenance Guy Watering Sunflowers Day 3,,,,,,,X,,,,,,X,,,,,,,,
NPC,Kid Opening Packs Day 3,,,,,,,X,,,,,,X,,,,,,,,
NPC,Maintenance Guy Watering Sunflowers Day 3,,,,,,,X,,,,,,X,,,,,,,,
NPC,Old Guy Neighbour Day 3,,,,,,,X,,,,,,X,,,,,,,,
NPC,Plaza Challenger 1,,,,,,,X,,,,,,X,,,,,,,,
NPC,Plaza Challenger 2,,,,,,,X,,,,,,X,,,,,,,,
NPC,Plaza Challenger 3,,,,,,,X,,,,,,X,,,,,,,,
NPC,Plaza Challenger 4,,,,,,,X,,,,,,X,,,,,,,,
NPC,Plaza Challenger 5,,,,,,,X,,,,,,X,,,,,,,,
NPC,Plaza Challenger 7,,,,,,,X,,,,,,X,,,,,,,,
NPC,Plaza Challenger 7b,,,,,,,X,,,,,,X,,,,,,,,
NPC,Plaza Challenger 9,,,,,,,X,,,,,,X,,,,,,,,
NPC,Woman Walking The Neighbourhood Day 3,,,,,,,X,,,,,,X,,,,,,,,
NPC,Worker On Dock,,,,,,,X,,,,,,X,,,,,,,,
NPC,Bakery Lover Eve,,,,,,,,X,,,X,,,X,,,,,,,
NPC,Blaine NPC,,,,,,,,X,,,X,,,X,,,,,,,
NPC,Brock NPC,,,,,,,,X,,,X,,,X,,,,,,,
NPC,Man Staring Out To Sea Evening 3,,,,,,,,X,,,X,,,X,,,,,,,
NPC,Old Guy Neighbour Evening 3,,,,,,,,X,,,X,,,X,,,,,,,
NPC,Plaza Challenger 5 Eve,,,,,,,,X,,,X,,,X,,,,,,,
NPC,Plaza Challenger 6 Eve,,,,,,,,X,,,X,,,X,,,,,,,
NPC,Station Manager Evening 3,,,,,,,,X,,,X,,,X,,,,,,,
NPC,Sunbathing Sailor 2 Eve,,,,,,,,X,,,X,,,X,,,,,,,
NPC,Woman Walking The Neighbourhood Eve 3,,,,,,,,X,,,X,,,X,,,,,,,
NPC,Worker On Dock Eve,,,,,,,,X,,,X,,,X,,,,,,,
NPC,Giovanni NPC,,,,,,,,,X,,,X,,,X,,,,,,
NPC,Koga NPC,,,,,,,,,X,,,X,,,X,,,,,,
NPC,Sabrina NPC,,,,,,,,,X,,,X,,,X,,,,,,
NPC,Sailor 2 Pier 1 Night 3,,,,,,,,,X,,,X,,,X,,,,,,
NPC,Sailor Working On Dock Night 3,,,,,,,,,X,,,X,,,X,,,,,,
NPC,Sailor Working On SS Anne Night,,,,,,,,,X,,,X,,,X,,,,,,
NPC,Plaza Challenger 5 day 4,,,,,,,,,,X,,,,,,,,,,,
NPC,Sailor 2 Pier 1 Day 4,,,,,,,,,,X,,,,,,,,,,,
NPC,Pikachu Fan Cami,,,,,,,,,,,,,,,,X,X,,X,X,
NPC,Pikachu Fan Juniper,,,,,,,,,,,,,,,,X,X,,X,X,
NPC,Pikachu Fan Leaf,,,,,,,,,,,,,,,,X,X,,X,X,
NPC,Pikachu Fan Marina,,,,,,,,,,,,,,,,X,X,,X,X,
NPC,Pikachu Fan Raye,,,,,,,,,,,,,,,,X,X,,X,X,
NPC,Pikachu Fan Skye,,,,,,,,,,,,,,,,X,X,,X,X,
NPC,Pikachu Fans' Mum,,,,,,,,,,,,,,,,X,X,,X,X,
NPC,Rocket Pack Gift,,,,,,,,,,,,,,,,X,X,,,,
NPC,Wishing well coin thrower,,,,,,,,,,,,,,,,X,,,X,,
NPC,Old Guy Neighbour Day 4,,,,,,,,,,,,,,,,X,,,,,
NPC,Veteran Iris,,,,,,,,,,,,,,,,,,,,,X
OPP,Firebreather Darryl,,,,,X,X,X,,,X,,,X,,,,,,,,
OPP,Firebreather Kenneth,,,,,X,X,X,,,X,,,X,,,,,,,,
OPP,Hiker Matthew,,,,,X,X,X,,,X,,,X,,,,,,,,
OPP,Jogger Daniel,,,,,X,X,,X,,,X,,,X,,,,,,,
OPP,Sailor Bob,,,,,,X,,X,X,,X,X,,X,X,,,,,,
OPP,Bad Dude Paul,,,,,,X,,,X,,,X,,,X,,,,,,
OPP,Psychic Brienne,,,,,,X,,,X,,,X,,,X,,,,,,
OPP,Birdspotter Gregg,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,
OPP,Aromagirl Penelope,,,,,,,X,X,,X,X,,X,X,,,,,,,
OPP,Bug Catcher Frankie,,,,,,,X,X,,X,X,,X,X,,,,,,,
OPP,Battlegirl Sofia,,,,,,,X,X,,X,,,X,X,,,,,,,
OPP,Young Twin Anna,,,,,,,X,,,X,,,X,,,,,,,,
OPP,Young Twin Nella,,,,,,,X,,,X,,,X,,,,,,,,
OPP,Garden Manager Louis,,,,,,,,X,X,,X,X,,X,X,,,,,,
OPP,Guitarist Howard,,,,,,,,X,X,,X,X,,X,X,,,,,,
OPP,Guitarist Jonesy,,,,,,,,X,X,,X,X,,X,X,,,,,,
OPP,Hiker Ben,,,,,,,,X,X,,X,X,,X,X,,,,,,
OPP,Fisherman Gary,,,,,,,,X,,X,X,,,X,,,,,,,
OPP,Tourist Alissa,,,,,,,,X,,X,X,,,X,,,,,,,
OPP,Tourist Edmund,,,,,,,,X,,X,X,,,X,,,,,,,
OPP,Card Elder Hamish,,,,,,,,,X,X,X,X,,,X,,,,,,
OPP,Card Elder Rayne,,,,,,,,,X,X,X,X,,,X,,,,,,
OPP,Card Elder Waverly,,,,,,,,,X,X,X,X,,,X,,,,,,
OPP,Bad Dude Wayne,,,,,,,,,X,,,X,,,X,,,,,,
OPP,Engineer Brad,,,,,,,,,X,,,X,,,X,,,,,,
OPP,Rocket Grunt Damien,,,,,,,,,X,,,X,,,X,,,,,,
OPP,Rocket Grunt Penny,,,,,,,,,X,,,X,,,X,,,,,,
OPP,Swimmer Melissa,,,,,,,,,,X,X,,,,,,,,,,
OPP,Card Expert Nathan,,,,,,,,,,,,,,,,X,X,,,,
OPP,Card Expert Ruby,,,,,,,,,,,,,,,,X,X,,,,
OPP,Ninjaboy Sasuke,,,,,,,,,,,,,,,,X,X,,,,
OPP,Pikachu Fan Cami,,,,,,,,,,,,,,,,X,,,X,,
OPP,Pikachu Fan Juniper,,,,,,,,,,,,,,,,X,,,X,,
OPP,Pikachu Fan Leaf,,,,,,,,,,,,,,,,X,,,X,,
OPP,Pikachu Fan Marina,,,,,,,,,,,,,,,,X,,,X,,
OPP,Pikachu Fan Raye,,,,,,,,,,,,,,,,X,,,X,,
OPP,Pikachu Fan Skye,,,,,,,,,,,,,,,,X,,,X,,
OPP,Pikachu Fans' Mum,,,,,,,,,,,,,,,,X,,,X,,
OPP,Gentleman Benedict,,,,,,,,,,,,,,,,X,,,,,
OPP,Youngster Milo,,,,,,,,,,,,,,,,X,,,,,
OPP,Forest Ranger Tucker,,,,,,,,,,,,,,,,,X,X,X,,
OPP,Card Expert Aurora,,,,,,,,,,,,,,,,,X,X,,,
OPP,Hiker Walter,,,,,,,,,,,,,,,,,X,X,,,
OPP,Mad Scientist Leonard,,,,,,,,,,,,,,,,,X,X,,,
OPP,Fossil Expert Jonathan,,,,,,,,,,,,,,,,,X,,X,X,
OPP,Doctor Mortimor,,,,,,,,,,,,,,,,,X,,X,,
OPP,Lady Fiona,,,,,,,,,,,,,,,,,X,,X,,
OPP,Backpacker Patrick,,,,,,,,,,,,,,,,,X,,,,
OPP,Ghost Whisperer Vera,,,,,,,,,,,,,,,,,,X,,,
OPP,Police Constable Floyd,,,,,,,,,,,,,,,,,,X,,,
OPP,Police Sergeant Douglas,,,,,,,,,,,,,,,,,,X,,,
OPP,Rocket Grunt Margot,,,,,,,,,,,,,,,,,,X,,,
OPP,Shady Character Bernard,,,,,,,,,,,,,,,,,,X,,,
OPP,Shady Character Owen,,,,,,,,,,,,,,,,,,X,,,
OPP,Psychic Nova,,,,,,,,,,,,,,,,,,,X,X,X
OPP,Old Traveller Cliff,,,,,,,,,,,,,,,,,,,X,X,
OPP,Old Traveller Harold,,,,,,,,,,,,,,,,,,,X,X,
OPP,Gambler Victor,,,,,,,,,,,,,,,,,,,X,,
OPP,Nature Lover Erin,,,,,,,,,,,,,,,,,,,X,,
OPP,Swimmer Bibi,,,,,,,,,,,,,,,,,,,X,,
OPP,Young Sage Kai,,,,,,,,,,,,,,,,,,,X,,
OPP,Youngster Cooper,,,,,,,,,,,,,,,,,,,X,,
OPP,Clown Glenn,,,,,,,,,,,,,,,,,,,,X,X
OPP,Clown Hubert,,,,,,,,,,,,,,,,,,,,X,X
OPP,Rocket Boss Giovanni,,,,,,,,,,,,,,,,,,,,X,X
OPP,Rocket Exec Archer,,,,,,,,,,,,,,,,,,,,X,X
OPP,Rocket Exec Ariana,,,,,,,,,,,,,,,,,,,,X,X
OPP,Rocket Exec Petrel,,,,,,,,,,,,,,,,,,,,X,X
OPP,Rocket Exec Proton,,,,,,,,,,,,,,,,,,,,X,X
OPP,Light Engineer Chase,,,,,,,,,,,,,,,,,,,,,X
OPP,Psychic Eli,,,,,,,,,,,,,,,,,,,,,X
OPP,Veteran Sylvester,,,,,,,,,,,,,,,,,,,,,X
