"CardID","Set","CardName","Type","EnergyType","TotalCount","DeckCount"
"gym1-120","gym1","Vermilion City Gym","Trainer","","4","2"
"gym2-88","gym2","Misty's Magikarp","Pokemon","Water","4","1"
"gym1-126","gym1","Trash Exchange","Trainer","","4","1"
"base1-19","base1","Dugtrio","Pokemon","Fighting","4","2"
"gym1-108","gym1","Cerulean City Gym","Trainer","","4","2"
"gym2-84","gym2","Lt. Surge's Pikachu","Pokemon","Lightning","4","1"
"gym1-80","gym1","Lt. Surge's Magnemite","Pokemon","Lightning","4","1"
"gym1-123","gym1","Misty's Duel","Trainer","","4","2"
"base3-55","base3","Slowpoke","Pokemon","Psychic","4","1"
"gym1-42","gym1","Erika's Dratini","Pokemon","Colorless","4","1"
"gym2-80","gym2","Koga's Pidgey","Pokemon","Colorless","4","1"
"base2-60","base2","Pikachu","Pokemon","Lightning","4","2"
"gym2-10","gym2","Koga's Ditto","Pokemon","Colorless","4","1"
"base5-59","base5","Machop","Pokemon","Fighting","4","1"
"gym1-111","gym1","Good Manners","Trainer","","4","1"
"base1-10","base1","Mewtwo","Pokemon","Psychic","4","2"
"gym2-72","gym2","Giovanni's Machop","Pokemon","Fighting","4","1"
"base5-64","base5","Ponyta","Pokemon","Fire","4","1"
"gym2-60","gym2","Blaine's Charmander","Pokemon","Fire","4","1"
"base1-11","base1","Nidoking","Pokemon","Grass","4","2"
"base5-75","base5","Digger","Trainer","","4","1"
"base5-78","base5","Goop Gas Attack","Trainer","","4","1"
"gym2-115","gym2","Koga's Ninja Trick","Trainer","","4","2"
"base3-40","base3","Omastar","Pokemon","Water","4","2"
"base5-36","base5","Dark Gloom","Pokemon","Grass","4","1"
"base3-45","base3","Weezing","Pokemon","Grass","4","2"
"gym2-87","gym2","Misty's Horsea","Pokemon","Water","4","1"
"gym2-39","gym2","Erika's Bulbasaur","Pokemon","Grass","4","1"
"gym2-70","gym2","Erika's Oddish","Pokemon","Grass","4","1"
"gym1-53","gym1","Misty's Poliwhirl","Pokemon","Water","4","1"
"base2-58","base2","Oddish","Pokemon","Grass","4","1"
"base3-58","base3","Mr. Fuji","Trainer","","4","1"
"gym2-82","gym2","Koga's Weedle","Pokemon","Grass","4","1"
"gym1-13","gym1","Rocket's Scyther","Pokemon","Grass","4","1"
"gym1-87","gym1","Misty's Poliwag","Pokemon","Water","4","1"
"gym2-78","gym2","Koga's Grimer","Pokemon","Grass","4","1"
"gym1-16","gym1","Erika","Trainer","","4","1"
"base1-29","base1","Haunter","Pokemon","Psychic","4","1"
"base1-13","base1","Poliwrath","Pokemon","Water","4","1"
"gym2-44","gym2","Giovanni's Nidorina","Pokemon","Grass","4","1"
"basep-10","basep","Meowth","Pokemon","Colorless","4","1"
"base5-79","base5","Sleep!","Trainer","","4","1"
"gym1-96","gym1","Sabrina's Venonat","Pokemon","Grass","4","1"
"gym1-107","gym1","Celadon City Gym","Trainer","","4","2"
"gym1-75","gym1","Erika's Bellsprout","Pokemon","Grass","4","1"
"base1-72","base1","Devolution Spray","Trainer","","4","1"
"base3-57","base3","Zubat","Pokemon","Grass","4","2"
"gym1-68","gym1","Brock's Mankey","Pokemon","Fighting","4","1"
"base3-15","base3","Zapdos","Pokemon","Lightning","4","2"
"base3-60","base3","Gambler","Trainer","","4","1"
"base5-13","base5","Dark Vileplume","Pokemon","Grass","4","1"
"gym2-77","gym2","Koga's Ekans","Pokemon","Grass","4","1"
"gym1-45","gym1","Erika's Gloom","Pokemon","Grass","3","1"
"base2-46","base2","Seaking","Pokemon","Water","3","1"
"gym1-49","gym1","Erika's Weepinbell","Pokemon","Grass","3","1"
"base1-40","base1","Raticate","Pokemon","Colorless","3","1"
"gym2-62","gym2","Blaine's Growlithe","Pokemon","Fire","3","1"
"gym1-83","gym1","Lt. Surge's Spearow","Pokemon","Colorless","3","1"
"gym2-52","gym2","Lt. Surge's Electrode","Pokemon","Lightning","3","1"
"gym1-72","gym1","Brock's Sandshrew","Pokemon","Fighting","3","1"
"gym2-79","gym2","Koga's Koffing","Pokemon","Grass","3","1"
"gym1-82","gym1","Lt. Surge's Rattata","Pokemon","Colorless","3","1"
"gym2-91","gym2","Misty's Seel","Pokemon","Water","3","1"
"gym2-26","gym2","Koga's Muk","Pokemon","Grass","3","1"
"gym2-27","gym2","Koga's Pidgeotto","Pokemon","Colorless","3","1"
"gym1-43","gym1","Erika's Exeggcute","Pokemon","Grass","3","1"
"base5-11","base5","Dark Magneton","Pokemon","Lightning","3","1"
"gym2-25","gym2","Koga's Arbok","Pokemon","Grass","3","1"
"gym2-81","gym2","Koga's Tangela","Pokemon","Grass","3","1"
"gym2-99","gym2","Sabrina's Psyduck","Pokemon","Water","3","1"
"gym2-31","gym2","Blaine's Charmeleon","Pokemon","Fire","3","1"
"gym2-46","gym2","Koga's Golbat","Pokemon","Grass","3","1"
"gym1-95","gym1","Sabrina's Slowpoke","Pokemon","Psychic","3","1"
"base5-39","base5","Dark Kadabra","Pokemon","Psychic","3","1"
"gym2-41","gym2","Erika's Ivysaur","Pokemon","Grass","3","1"
"gym1-81","gym1","Lt. Surge's Pikachu","Pokemon","Lightning","3","1"
"gym1-10","gym1","Misty's Tentacruel","Pokemon","Water","3","1"
"base3-42","base3","Seadra","Pokemon","Water","3","1"
"gym1-89","gym1","Misty's Shellder","Pokemon","Water","3","1"
"base2-42","base2","Persian","Pokemon","Colorless","3","1"
"gym1-31","gym1","Misty's Poliwrath","Pokemon","Water","3","1"
"gym2-21","gym2","Blaine's Ninetales","Pokemon","Fire","3","1"
"base5-1","base5","Dark Alakazam","Pokemon","Psychic","3","1"
"gym2-35","gym2","Brock's Primeape","Pokemon","Fighting","3","1"
"gym2-6","gym2","Giovanni's Machamp","Pokemon","Fighting","3","1"
"gym1-9","gym1","Misty's Seadra","Pokemon","Water","3","1"
"gym1-28","gym1","Lt. Surge's Raichu","Pokemon","Lightning","3","1"
"gym1-85","gym1","Misty's Goldeen","Pokemon","Water","3","1"
"gym2-42","gym2","Giovanni's Machoke","Pokemon","Fighting","3","1"
"base2-15","base2","Vileplume","Pokemon","Grass","3","1"
"base2-43","base2","Primeape","Pokemon","Fighting","3","1"
"base2-41","base2","Parasect","Pokemon","Grass","3","1"
"gym2-90","gym2","Misty's Psyduck","Pokemon","Water","3","1"
"gym1-92","gym1","Sabrina's Drowzee","Pokemon","Psychic","3","1"
"gym2-67","gym2","Brock's Diglett","Pokemon","Fighting","3","1"
"gym2-3","gym2","Brock's Ninetales","Pokemon","Fire","3","2"
"base2-14","base2","Victreebel","Pokemon","Grass","3","1"
"base3-44","base3","Tentacruel","Pokemon","Water","3","1"
"gym2-13","gym2","Misty's Gyarados","Pokemon","Water","3","1"
"gym1-34","gym1","Sabrina's Venomoth","Pokemon","Grass","3","1"
"base5-5","base5","Dark Dragonite","Pokemon","Colorless","3","2"
"gym1-58","gym1","Sabrina's Haunter","Pokemon","Psychic","3","1"
"gym2-33","gym2","Blaine's Rapidash","Pokemon","Fire","3","1"
"gym2-28","gym2","Lt. Surge's Jolteon","Pokemon","Lightning","3","1"
"gym1-90","gym1","Misty's Staryu","Pokemon","Water","3","1"
"gym2-9","gym2","Koga's Beedrill","Pokemon","Grass","3","1"
"gym2-47","gym2","Koga's Kakuna","Pokemon","Grass","3","1"
"gym2-23","gym2","Giovanni's Nidoqueen","Pokemon","Grass","3","1"
"gym1-2","gym1","Brock's Rhydon","Pokemon","Fighting","3","1"
"gym2-58","gym2","Sabrina's Kadabra","Pokemon","Psychic","3","1"
"gym2-16","gym2","Sabrina's Alakazam","Pokemon","Psychic","2","1"
"gym2-29","gym2","Sabrina's Gengar","Pokemon","Psychic","2","1"
"gym1-29","gym1","Misty's Cloyster","Pokemon","Water","2","1"
"gym2-66","gym2","Blaine's Vulpix","Pokemon","Fire","2","1"
"base1-73","base1","Impostor Professor Oak","Trainer","","2","1"
"gym1-5","gym1","Erika's Vileplume","Pokemon","Grass","2","1"
"gym2-8","gym2","Giovanni's Persian","Pokemon","Colorless","2","1"
"gym1-26","gym1","Erika's Victreebel","Pokemon","Grass","2","1"
"gym2-11","gym2","Lt. Surge's Raichu","Pokemon","Lightning","2","1"
"gym2-50","gym2","Koga's Weezing","Pokemon","Grass","2","1"
"gym2-123","gym2","Viridian City Gym","Trainer","","2","1"
"gym1-41","gym1","Brock's Lickitung","Pokemon","Colorless","2","1"
"gym2-74","gym2","Giovanni's Meowth","Pokemon","Colorless","2","1"
"gym2-22","gym2","Brock's Dugtrio","Pokemon","Fighting","2","1"
"gym1-51","gym1","Lt. Surge's Raticate","Pokemon","Colorless","2","1"
"gym1-125","gym1","Sabrina's Gaze","Trainer","","2","1"
"gym1-66","gym1","Brock's Geodude","Pokemon","Fighting","2","1"
"gym2-124","gym2","Fervor","Trainer","","2","1"
"gym1-56","gym1","Misty's Starmie","Pokemon","Water","2","1"
"gym2-5","gym2","Giovanni's Gyarados","Pokemon","Water","2","1"
"gym2-1","gym2","Blaine's Arcanine","Pokemon","Fire","2","1"
"gym2-4","gym2","Erika's Venusaur","Pokemon","Grass","2","1"
"base3-6","base3","Haunter","Pokemon","Psychic","2","1"
"gym1-44","gym1","Erika's Exeggutor","Pokemon","Grass","2","1"
"base2-7","base2","Nidoqueen","Pokemon","Grass","2","1"
"base2-8","base2","Pidgeot","Pokemon","Colorless","2","1"
"gym1-6","gym1","Lt. Surge's Electabuzz","Pokemon","Lightning","2","1"
"gym1-74","gym1","Brock's Zubat","Pokemon","Grass","2","1"
"gym1-84","gym1","Lt. Surge's Voltorb","Pokemon","Lightning","2","1"
"basep-3","basep","Mewtwo","Pokemon","Psychic","2","1"
"gym2-56","gym2","Sabrina's Hypno","Pokemon","Psychic","2","1"
"base1-85","base1","Pokémon Center","Trainer","","2","1"
"gym1-27","gym1","Lt. Surge's Electabuzz","Pokemon","Lightning","2","1"
"gym2-114","gym2","Fuchsia City Gym","Trainer","","2","1"
"gym2-30","gym2","Sabrina's Golduck","Pokemon","Water","2","1"
"gym2-113","gym2","Cinnabar City Gym","Trainer","","2","1"
"gym2-34","gym2","Brock's Graveler","Pokemon","Fighting","2","1"
"gym1-65","gym1","Blaine's Vulpix","Pokemon","Fire","2","1"
"gym2-54","gym2","Misty's Dewgong","Pokemon","Water","2","1"
"gym1-63","gym1","Blaine's Ponyta","Pokemon","Fire","2","1"
"gym1-60","gym1","Sabrina's Slowbro","Pokemon","Psychic","2","1"
"base3-61","base3","Recycle","Trainer","","2","1"
"gym2-36","gym2","Brock's Sandslash","Pokemon","Fighting","2","1"
"gym2-2","gym2","Blaine's Charizard","Pokemon","Fire","2","1"
"gym1-55","gym1","Misty's Seaking","Pokemon","Water","2","1"
"gym1-7","gym1","Lt. Surge's Fearow","Pokemon","Colorless","2","1"
"gym1-36","gym1","Blaine's Kangaskhan","Pokemon","Colorless","2","1"
"gym2-18","gym2","Giovanni","Trainer","","2","1"
"gym2-40","gym2","Erika's Clefairy","Pokemon","Colorless","2","1"
"base1-50","base1","Gastly","Pokemon","Psychic","2","1"
"basep-14","basep","Mewtwo","Pokemon","Psychic","2","1"
"gym2-12","gym2","Misty's Golduck","Pokemon","Water","2","1"
"base1-12","base1","Ninetales","Pokemon","Fire","2","1"
"gym1-18","gym1","Misty","Trainer","","2","1"
"gym2-64","gym2","Blaine's Ponyta","Pokemon","Fire","2","1"
"gym2-68","gym2","Brock's Geodude","Pokemon","Fighting","2","1"
"basep-18","basep","Team Rocket's Meowth","Pokemon","Colorless","2","1"
"gym2-86","gym2","Lt. Surge's Voltorb","Pokemon","Lightning","2","1"
"gym1-20","gym1","Brock's Golem","Pokemon","Fighting","2","1"
"base1-89","base1","Revive","Trainer","","2","1"
"gym2-108","gym2","Misty's Wish","Trainer","","2","1"
"gym2-69","gym2","Erika's Jigglypuff","Pokemon","Colorless","2","1"
"gym1-61","gym1","Blaine's Charmander","Pokemon","Fire","2","1"
"basep-7","basep","Jigglypuff","Pokemon","Colorless","2","1"
"gym1-115","gym1","Pewter City Gym","Trainer","","2","1"
"base3-14","base3","Raichu","Pokemon","Lightning","1","1"
"gym1-39","gym1","Brock's Golbat","Pokemon","Grass","1","1"
"gym2-43","gym2","Giovanni's Meowth","Pokemon","Colorless","1","1"
