ID,Name,Count,Decks
base1-4,Charizard,4,2
base5-50,Charmander,8,2
base2-1,Clefable,5,2
base1-5,Clefairy,7,2
base3-32,Cloyster,6,2
base2-50,Cubone,8,2
base5-3,Dark Blastoise,8,2
base5-4,Dark Charizard,6,2
base5-32,Dark Charmeleon,7,2
base5-33,Dark Dragonair,5,2
base5-5,Dark Dragonite,3,2
base5-34,Dark Electrode,6,2
base5-35,Dark Flareon,5,2
base5-37,Dark Golduck,5,2
base5-9,Dark Hypno,6,2
base5-10,Dark Machamp,5,2
base5-40,Dark Machoke,7,2
base5-41,Dark Muk,7,2
base5-83,Dark Raichu,7,2
base5-51,Dark Raticate,6,2
base5-46,Dark Wartortle,6,2
base5-14,Dark Weezing,7,2
base2-34,Dodrio,6,2
base3-4,Dragonite,5,2
base5-53,Dratini,7,2
base1-19,Dugtrio,4,2
base2-2,Electrode,5,2
base2-35,Exeggutor,5,2
base2-36,Fearow,6,2
base2-3,Flareon,3,2
base5-81,Full Heal Energy,8,2
base3-33,Gastly,6,2
base2-37,Gloom,6,2
base3-34,Golbat,5,2
base3-35,Golduck,5,2
base3-37,Graveler,7,2
base3-48,Grimer,5,2
base1-28,Growlithe,8,2
base3-7,Hitmonlee,6,2
base3-8,Hypno,5,2
base1-31,Jynx,6,2
base3-50,Kabuto,7,2
base3-9,Kabutops,5,2
base1-32,Kadabra,6,2
base3-38,Kingler,6,2
base1-51,Koffing,4,2
base3-51,Krabby,8,2
base2-38,Lickitung,4,2
base1-8,Machamp,6,2
base1-36,Magmar,6,2
base3-39,Magmar,6,2
base5-60,Magnemite,8,2
base1-9,Magneton,5,2
base2-39,Marowak,6,2
base2-56,Meowth,8,2
base1-54,Metapod,6,2
base1-10,Mewtwo,4,2
base2-6,Mr. Mime,8,2
base3-13,Muk,6,2
base2-7,Nidoqueen,6,2
base5-63,Oddish,8,2
base3-52,Omanyte,6,2
base3-40,Omastar,4,2
base1-56,Onix,6,2
base2-59,Paras,8,2
base1-22,Pidgeotto,6,2
base1-57,Pidgey,8,2
base2-60,Pikachu,4,2
basep-1,Pikachu,5,2
basep-4,Pikachu,5,2
basep-26,Pikachu,8,2
base1-38,Poliwhirl,7,2
base1-60,Ponyta,8,2
base3-53,Psyduck,8,2
base5-65,Psyduck,8,2
base2-44,Rapidash,5,2
base1-61,Rattata,8,2
base2-45,Rhydon,6,2
base2-61,Rhyhorn,8,2
gym1-12,Rocket's Moltres,8,2
base5-16,Rocket's Sneak Attack,6,2
gym1-33,Rocket's Snorlax,4,2
gym2-15,Rocket's Zapdos,8,2
base1-62,Sandshrew,8,2
base3-41,Sandslash,5,2
base1-78,Scoop Up,5,2
base3-42,Seadra,5,2
base2-46,Seaking,5,2
base3-54,Shellder,8,2
base5-68,Squirtle,6,2
base1-66,Tangela,8,2
base2-47,Tauros,6,2
base3-44,Tentacruel,5,2
base2-12,Vaporeon,5,2
base2-13,Venomoth,5,2
base1-67,Voltorb,8,2
base2-48,Weepinbell,6,2
base3-45,Weezing,4,2
base2-16,Wigglytuff,7,2
base3-15,Zapdos,4,2
base3-57,Zubat,4,2
base1-43,Abra,12,3
base3-31,Arbok,10,3
base1-17,Beedrill,10,3
base1-44,Bulbasaur,12,3
base1-45,Caterpie,12,3
base1-46,Charmander,12,3
base1-24,Charmeleon,9,3
base5-2,Dark Arbok,11,3
base5-38,Dark Jolteon,9,3
base5-45,Dark Vaporeon,8,3
base1-47,Diglett,9,3
base1-18,Dragonair,9,3
base5-54,Drowzee,11,3
base1-49,Drowzee,12,3
base3-46,Ekans,8,3
base2-52,Exeggcute,11,3
basep-25,Flying Pikachu,12,3
base1-82,Full Heal,8,3
base3-47,Geodude,12,3
base5-57,Grimer,11,3
base1-6,Gyarados,12,3
base3-49,Horsea,11,3
base1-30,Ivysaur,10,3
base2-54,Jigglypuff,10,3
base2-4,Jolteon,7,3
base2-5,Kangaskhan,12,3
base1-34,Machoke,10,3
base5-62,Meowth,11,3
base1-11,Nidoking,8,3
base2-57,Nidoran ♀,12,3
base2-40,Nidorina,10,3
base1-58,Pikachu,7,3
basep-27,Pikachu,7,3
base2-9,Pinsir,10,3
base1-59,Poliwag,12,3
base5-82,Potion Energy,10,3
base1-14,Raichu,8,3
base5-66,Rattata,12,3
base2-10,Scyther,10,3
base5-67,Slowpoke,12,3
base2-11,Snorlax,12,3
base1-64,Starmie,7,3
base1-65,Staryu,11,3
base1-79,Super Energy Removal,7,3
base3-56,Tentacool,11,3
base2-63,Venonat,12,3
base5-69,Voltorb,12,3
base1-68,Vulpix,12,3
base5-70,Zubat,8,3
base1-2,Blastoise,13,4
base5-42,Dark Persian,11,4
base1-25,Dewgong,12,4
base1-48,Doduo,16,4
base1-26,Dratini,15,4
base5-55,Eevee,11,4
basep-11,Eevee,16,4
base2-53,Goldeen,15,4
base1-7,Hitmonchan,14,4
base1-33,Kakuna,13,4
base5-58,Koffing,15,4
base1-52,Machop,16,4
base1-35,Magikarp,16,4
base1-37,Nidorino,12,4
base2-64,Poké Ball,9,4
base5-17,Rainbow Energy,11,4
base1-41,Seel,15,4
basep-28,Surfing Pikachu,16,4
base1-69,Weedle,16,4
base1-70,Clefairy Doll,18,5
base2-51,Eevee,14,5
base5-56,Ekans,16,5
base1-20,Electabuzz,20,5
base3-62,Mysterious Fossil,20,5
base1-55,Nidoran ♂,19,5
base5-76,Imposter Oak's Revenge,24,6
base1-74,Item Finder,12,6
base3-10,Lapras,20,6
gym1-19,The Rocket's Trap,24,6
base1-81,Energy Retrieval,16,7
base1-83,Maintenance,18,7
base1-63,Squirtle,25,7
base1-90,Super Potion,15,7
base1-42,Wartortle,22,7
base1-75,Lass,19,8
base1-76,Pokémon Breeder,18,8
base1-71,Computer Search,19,10
base1-98,Fire Energy,141,11
base1-101,Psychic Energy,193,14
base1-96,Double Colorless Energy,56,15
base5-73,The Boss's Way,44,16
base1-97,Fighting Energy,236,17
base1-95,Switch,39,21
base3-59,Energy Search,78,22
base1-100,Lightning Energy,292,23
base1-93,Gust of Wind,57,25
base1-99,Grass Energy,470,27
base1-102,Water Energy,452,28
base1-94,Potion,95,33
base1-77,Pokémon Trader,72,36
base1-80,Defender,92,37
base1-92,Energy Removal,114,39
base1-84,PlusPower,137,42
base1-88,Professor Oak,181,70
base1-91,Bill,269,75
